doc_id,id,mid1,mid2,word1,word2,rel,is_correct
APW_ENG_20071126.1239.LDC2009T13,285060,APW_ENG_20071126.1239.LDC2009T13_2505_2508,APW_ENG_20071126.1239.LDC2009T13_2483_2490,lee,samsung,per:employee_or_member_of,t
NYT_ENG_20070215.0017.LDC2009T13,140993,NYT_ENG_20070215.0017.LDC2009T13_2733_2765,NYT_ENG_20070215.0017.LDC2009T13_2774_2786,bay area laboratory co-operative,victor conte,org:founded_by,t
eng-WL-11-174595-12968566,305857,eng-WL-11-174595-12968566_802_814,eng-WL-11-174595-12968566_648_655,jamie spears,britney,per:children,t
AFP_ENG_20070504.0397.LDC2009T13,127751,AFP_ENG_20070504.0397.LDC2009T13_593_604,AFP_ENG_20070504.0397.LDC2009T13_583_592,raul castro,president,per:title,t
NYT_ENG_20081215.0225.LDC2009T13,87990,NYT_ENG_20081215.0225.LDC2009T13_633_647,NYT_ENG_20081215.0225.LDC2009T13_488_492,bernard madoff,mark,per:children,t
CNA_ENG_20071102.0005.LDC2009T13,311073,CNA_ENG_20071102.0005.LDC2009T13_2498_2510,CNA_ENG_20071102.0005.LDC2009T13_2604_2613,jimmy carter,president,per:title,t
eng-WL-11-174589-12939508,245460,eng-WL-11-174589-12939508_514_526,eng-WL-11-174589-12939508_537_550,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174572-12948080,160809,eng-WL-11-174572-12948080_499_511,eng-WL-11-174572-12948080_550_562,heidi montag,holly montag,per:siblings,t
NYT_ENG_20080418.0011.LDC2009T13,245428,NYT_ENG_20080418.0011.LDC2009T13_961_964,NYT_ENG_20080418.0011.LDC2009T13_949_956,lee,samsung,per:employee_or_member_of,t
AFP_ENG_20080519.0135.LDC2009T13,253976,AFP_ENG_20080519.0135.LDC2009T13_2110_2121,AFP_ENG_20080519.0135.LDC2009T13_2187_2199,raul castro,fidel castro,per:siblings,t
eng-WL-11-174595-12968178,311090,eng-WL-11-174595-12968178_788_803,eng-WL-11-174595-12968178_847_854,kevin federline,britney,per:spouse,t
eng-WL-11-174598-12964778,191035,eng-WL-11-174598-12964778_63866_63873,eng-WL-11-174598-12964778_63943_63948,natalie,avner,per:parents,t
AFP_ENG_20070525.0016.LDC2009T13,87980,AFP_ENG_20070525.0016.LDC2009T13_709_722,AFP_ENG_20070525.0016.LDC2009T13_630_639,hosni mubarak,president,per:title,t
eng-WL-11-174589-12939508,245394,eng-WL-11-174589-12939508_205_217,eng-WL-11-174589-12939508_221_234,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174589-12939508,245405,eng-WL-11-174589-12939508_690_697,eng-WL-11-174589-12939508_683_688,spencer,heidi,per:spouse,t
APW_ENG_20080904.0306.LDC2009T13,115322,APW_ENG_20080904.0306.LDC2009T13_4508_4522,APW_ENG_20080904.0306.LDC2009T13_4540_4549,agostinho neto,president,per:title,t
eng-WL-11-174595-12967912,191029,eng-WL-11-174595-12967912_4424_4441,eng-WL-11-174595-12967912_4446_4458,michelle williams,heath ledger,per:spouse,t
AFP_ENG_20070612.0483.LDC2009T13,140990,AFP_ENG_20070612.0483.LDC2009T13_685_697,AFP_ENG_20070612.0483.LDC2009T13_736_745,fidel castro,president,per:title,t
NYT_ENG_20070416.0087.LDC2009T13,229850,NYT_ENG_20070416.0087.LDC2009T13_264_277,NYT_ENG_20070416.0087.LDC2009T13_255_263,mike huckabee,governor,per:title,t
eng-WL-11-174595-12967377,260573,eng-WL-11-174595-12967377_1358_1370,eng-WL-11-174595-12967377_1291_1308,jamie spears,jamie lynn spears,per:children,t
AFP_ENG_20071002.0041.LDC2009T13,47022,AFP_ENG_20071002.0041.LDC2009T13_3056_3068,AFP_ENG_20071002.0041.LDC2009T13_3046_3055,fidel castro,president,per:title,t
eng-WL-11-174595-12968571,331705,eng-WL-11-174595-12968571_18589_18596,eng-WL-11-174595-12968571_18601_18609,michael,jennifer,per:spouse,t
eng-NG-31-100029-10771470,311083,eng-NG-31-100029-10771470_1392_1406,eng-NG-31-100029-10771470_1431_1446,britney spears,kevin federline,per:spouse,t
APW_ENG_20080417.0678.LDC2009T13,265977,APW_ENG_20080417.0678.LDC2009T13_4454_4457,APW_ENG_20080417.0678.LDC2009T13_4407_4414,lee,samsung,per:employee_or_member_of,t
eng-WL-11-174587-12962628,253984,eng-WL-11-174587-12962628_372_384,eng-WL-11-174587-12962628_389_402,heidi montag,spencer pratt,per:spouse,t
eng-NG-31-143446-10242382,36282,eng-NG-31-143446-10242382_1940_1954,eng-NG-31-143446-10242382_1930_1939,george w. bush,president,per:title,t
AFP_ENG_20070525.0016.LDC2009T13,87941,AFP_ENG_20070525.0016.LDC2009T13_11129_11141,AFP_ENG_20070525.0016.LDC2009T13_11098_11107,moshe katsav,president,per:title,t
APW_ENG_20070103.0042.LDC2009T13,108662,APW_ENG_20070103.0042.LDC2009T13_627_638,APW_ENG_20070103.0042.LDC2009T13_669_680,guy ritchie,david banda,per:children,t
eng-WL-11-174594-12961460,153748,eng-WL-11-174594-12961460_439_444,eng-WL-11-174594-12961460_342_356,jamie,britney spears,per:siblings,t
eng-WL-11-174595-12968491,32433,eng-WL-11-174595-12968491_8433_8442,eng-WL-11-174595-12968491_8361_8367,brad pitt,zahara,per:children,t
APW_ENG_20071116.0532.LDC2009T13,340497,APW_ENG_20071116.0532.LDC2009T13_5846_5849,APW_ENG_20071116.0532.LDC2009T13_5918_5925,lee,samsung,per:employee_or_member_of,t
APW_ENG_20081224.0787.LDC2009T13,36269,APW_ENG_20081224.0787.LDC2009T13_3635_3647,APW_ENG_20081224.0787.LDC2009T13_3652_3661,barack obama,president,per:title,t
APW_ENG_20070103.0042.LDC2009T13,108668,APW_ENG_20070103.0042.LDC2009T13_669_680,APW_ENG_20070103.0042.LDC2009T13_627_638,david banda,guy ritchie,per:parents,t
APW_ENG_20071116.1329.LDC2009T13,319667,APW_ENG_20071116.1329.LDC2009T13_5872_5875,APW_ENG_20071116.1329.LDC2009T13_5944_5951,lee,samsung,per:employee_or_member_of,t
APW_ENG_20070930.0077.LDC2009T13,289333,APW_ENG_20070930.0077.LDC2009T13_1232_1243,APW_ENG_20070930.0077.LDC2009T13_1287_1295,mitt romney,governor,per:title,t
eng-WL-11-174611-12973545,136371,eng-WL-11-174611-12973545_369_382,eng-WL-11-174611-12973545_326_339,vince mcmahon,linda mcmahon,per:spouse,t
APW_ENG_20070925.0234.LDC2009T13,326040,APW_ENG_20070925.0234.LDC2009T13_4681_4695,APW_ENG_20070925.0234.LDC2009T13_4726_4735,george w. bush,president,per:title,t
NYT_ENG_20080422.0012.LDC2009T13,229821,NYT_ENG_20080422.0012.LDC2009T13_4496_4499,NYT_ENG_20080422.0012.LDC2009T13_4470_4477,lee,samsung,per:employee_or_member_of,t
XIN_ENG_20080429.0143.LDC2009T13,59290,XIN_ENG_20080429.0143.LDC2009T13_395_406,XIN_ENG_20080429.0143.LDC2009T13_291_302,adan chavez,hugo chavez,per:siblings,t
eng-WL-11-174595-12968036,174565,eng-WL-11-174595-12968036_4160_4172,eng-WL-11-174595-12968036_4149_4155,tina knowles,mathew,per:spouse,t
XIN_ENG_20071230.0008.LDC2009T13,203729,XIN_ENG_20071230.0008.LDC2009T13_631_643,XIN_ENG_20071230.0008.LDC2009T13_659_668,fidel castro,president,per:title,t
APW_ENG_20071219.1088.LDC2009T13,238879,APW_ENG_20071219.1088.LDC2009T13_1485_1499,APW_ENG_20071219.1088.LDC2009T13_1527_1539,britney spears,lynne spears,per:parents,t
APW_ENG_20070105.0716.LDC2009T13,174590,APW_ENG_20070105.0716.LDC2009T13_562_581,APW_ENG_20070105.0716.LDC2009T13_552_561,mahmoud ahmadinejad,president,per:title,t
XIN_ENG_20080224.0266.LDC2009T13,278145,XIN_ENG_20080224.0266.LDC2009T13_431_442,XIN_ENG_20080224.0266.LDC2009T13_459_468,raul castro,president,per:title,t
APW_ENG_20080202.0818.LDC2009T13,13,APW_ENG_20080202.0818.LDC2009T13_2279_2291,APW_ENG_20080202.0818.LDC2009T13_2296_2309,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174595-12968465,319686,eng-WL-11-174595-12968465_7218_7229,eng-WL-11-174595-12968465_7192_7205,keith urban,nicole kidman,per:spouse,t
NYT_ENG_20080718.0119.LDC2009T13,245446,NYT_ENG_20080718.0119.LDC2009T13_2826_2853,NYT_ENG_20080718.0119.LDC2009T13_2864_2878,american family association,donald wildmon,org:founded_by,t
APW_ENG_20070124.0836.LDC2009T13,238884,APW_ENG_20070124.0836.LDC2009T13_2541_2552,APW_ENG_20070124.0836.LDC2009T13_2576_2587,guy ritchie,david banda,per:children,t
APW_ENG_20070910.1469.LDC2009T13,147052,APW_ENG_20070910.1469.LDC2009T13_802_816,APW_ENG_20070910.1469.LDC2009T13_792_801,george w. bush,president,per:title,t
eng-WL-11-174594-12961460,153750,eng-WL-11-174594-12961460_1352_1359,eng-WL-11-174594-12961460_1422_1432,britney,jamie lynn,per:siblings,t
eng-WL-11-174594-12963522,26637,eng-WL-11-174594-12963522_1944_1954,eng-WL-11-174594-12963522_1975_1989,jamie lynn,britney spears,per:siblings,t
AFP_ENG_20071021.0019.LDC2009T13,260549,AFP_ENG_20071021.0019.LDC2009T13_2257_2268,AFP_ENG_20071021.0019.LDC2009T13_2201_2206,raul castro,fidel,per:siblings,t
AFP_ENG_20071021.0019.LDC2009T13,260606,AFP_ENG_20071021.0019.LDC2009T13_3148_3162,AFP_ENG_20071021.0019.LDC2009T13_3138_3147,george w. bush,president,per:title,t
eng-WL-11-174572-12950301,217551,eng-WL-11-174572-12950301_3207_3220,eng-WL-11-174572-12950301_3190_3205,spencer pratt,stephanie pratt,per:siblings,t
AFP_ENG_20081210.0097.LDC2009T13,87994,AFP_ENG_20081210.0097.LDC2009T13_746_757,AFP_ENG_20081210.0097.LDC2009T13_736_745,hugo chavez,president,per:title,t
AFP_ENG_20070110.0311.LDC2009T13,319660,AFP_ENG_20070110.0311.LDC2009T13_252_263,AFP_ENG_20070110.0311.LDC2009T13_242_251,hugo chavez,president,per:title,t
eng-NG-31-100705-11214639,265961,eng-NG-31-100705-11214639_159_170,eng-NG-31-100705-11214639_183_192,raul castro,president,per:title,t
eng-WL-11-174595-12967831,331708,eng-WL-11-174595-12967831_303_317,eng-WL-11-174595-12967831_446_461,britney spears,kevin federline,per:spouse,t
eng-WL-11-174595-12967831,331686,eng-WL-11-174595-12967831_4091_4107,eng-WL-11-174595-12967831_4068_4079,vanessa minnillo,nick lachey,per:spouse,t
NYT_ENG_20070225.0179.LDC2009T13,272905,NYT_ENG_20070225.0179.LDC2009T13_2059_2072,NYT_ENG_20070225.0179.LDC2009T13_1983_1994,michael buble,emily blunt,per:spouse,t
AFP_ENG_20070123.0746.LDC2009T13,108674,AFP_ENG_20070123.0746.LDC2009T13_260_272,AFP_ENG_20070123.0746.LDC2009T13_250_259,fidel castro,president,per:title,t
eng-NG-31-142161-10036583,127761,eng-NG-31-142161-10036583_1029_1040,eng-NG-31-142161-10036583_1019_1028,raul castro,president,per:title,t
eng-WL-11-174595-12968511,289329,eng-WL-11-174595-12968511_3165_3172,eng-WL-11-174595-12968511_3197_3207,britney,jamie lynn,per:siblings,t
eng-WL-107-174567-12931828,136360,eng-WL-107-174567-12931828_2662_2677,eng-WL-107-174567-12931828_2583_2590,kevin federline,britney,per:spouse,t
APW_ENG_20071012.0854.LDC2009T13,297294,APW_ENG_20071012.0854.LDC2009T13_642_654,APW_ENG_20071012.0854.LDC2009T13_656_671,armin jordan,philippe jordan,per:children,t
APW_ENG_20070504.0122.LDC2009T13,265980,APW_ENG_20070504.0122.LDC2009T13_1509_1523,APW_ENG_20070504.0122.LDC2009T13_1499_1508,george w. bush,president,per:title,t
APW_ENG_20081124.0148.LDC2009T13,136361,APW_ENG_20081124.0148.LDC2009T13_295_306,APW_ENG_20081124.0148.LDC2009T13_285_294,hugo chavez,president,per:title,t
eng-WL-105-174565-12930839,311077,eng-WL-105-174565-12930839_681_693,eng-WL-105-174565-12930839_703_719,hank baskett,kendra wilkinson,per:spouse,t
APW_ENG_20071117.0115.LDC2009T13,245391,APW_ENG_20071117.0115.LDC2009T13_5289_5302,APW_ENG_20071117.0115.LDC2009T13_5193_5212,samsung group,samsung electronics,org:subsidiaries,t
APW_ENG_20071030.1158.LDC2009T13,285054,APW_ENG_20071030.1158.LDC2009T13_408_423,APW_ENG_20071030.1158.LDC2009T13_293_307,kevin federline,britney spears,per:spouse,t
APW_ENG_20070619.1479.LDC2009T13,169361,APW_ENG_20070619.1479.LDC2009T13_384_404,APW_ENG_20070619.1479.LDC2009T13_285_296,vilma espin guillois,raul castro,per:spouse,t
APW_ENG_20070212.0078.LDC2009T13,331684,APW_ENG_20070212.0078.LDC2009T13_1951_1962,APW_ENG_20070212.0078.LDC2009T13_2018_2033,cory booker,yale law school,per:schools_attended,t
NYT_ENG_20080921.0033.LDC2009T13,209771,NYT_ENG_20080921.0033.LDC2009T13_4644_4653,NYT_ENG_20080921.0033.LDC2009T13_4693_4702,citigroup,citigroup,org:subsidiaries,t
AFP_ENG_20080528.0550.LDC2009T13,285063,AFP_ENG_20080528.0550.LDC2009T13_443_462,AFP_ENG_20080528.0550.LDC2009T13_433_442,mahmoud ahmadinejad,president,per:title,t
APW_ENG_20080107.0632.LDC2009T13,209730,APW_ENG_20080107.0632.LDC2009T13_466_478,APW_ENG_20080107.0632.LDC2009T13_300_309,fidel castro,president,per:title,t
AFP_ENG_20070726.0371.LDC2009T13,169383,AFP_ENG_20070726.0371.LDC2009T13_258_269,AFP_ENG_20070726.0371.LDC2009T13_376_381,raul castro,fidel,per:siblings,t
AFP_ENG_20080801.0597.LDC2009T13,265994,AFP_ENG_20080801.0597.LDC2009T13_2330_2341,AFP_ENG_20080801.0597.LDC2009T13_2373_2382,raul castro,president,per:title,t
NYT_ENG_20070127.0098.LDC2009T13,278131,NYT_ENG_20070127.0098.LDC2009T13_1926_1937,NYT_ENG_20070127.0098.LDC2009T13_1908_1912,myles brand,ncaa,per:employee_or_member_of,t
AFP_ENG_20081228.0244.LDC2009T13,340490,AFP_ENG_20081228.0244.LDC2009T13_554_565,AFP_ENG_20081228.0244.LDC2009T13_666_678,raul castro,fidel castro,per:siblings,t
APW_ENG_20070118.0937.LDC2009T13,95664,APW_ENG_20070118.0937.LDC2009T13_1678_1691,APW_ENG_20070118.0937.LDC2009T13_1731_1747,jordin sparks,phillippi sparks,per:parents,t
eng-WL-107-174567-12932946,160827,eng-WL-107-174567-12932946_384_397,eng-WL-107-174567-12932946_360_375,spencer pratt,stephanie pratt,per:siblings,t
AFP_ENG_20071021.0019.LDC2009T13,260558,AFP_ENG_20071021.0019.LDC2009T13_1302_1307,AFP_ENG_20071021.0019.LDC2009T13_1249_1260,fidel,raul castro,per:siblings,t
eng-WL-11-174595-12968129,153798,eng-WL-11-174595-12968129_8559_8569,eng-WL-11-174595-12968129_8593_8607,jim carrey,jenny mccarthy,per:spouse,t
eng-WL-11-174595-12967989,191043,eng-WL-11-174595-12967989_4665_4682,eng-WL-11-174595-12967989_4726_4730,reese witherspoon,ryan,per:spouse,t
XIN_ENG_20080923.0285.LDC2009T13,297291,XIN_ENG_20080923.0285.LDC2009T13_414_423,XIN_ENG_20080923.0285.LDC2009T13_268_277,hu jintao,president,per:title,t
APW_ENG_20070925.0234.LDC2009T13,326042,APW_ENG_20070925.0234.LDC2009T13_11549_11564,APW_ENG_20070925.0234.LDC2009T13_11539_11548,nicolas sarkozy,president,per:title,t
APW_ENG_20080304.0789.LDC2009T13,238865,APW_ENG_20080304.0789.LDC2009T13_402_413,APW_ENG_20080304.0789.LDC2009T13_278_287,hugo chavez,president,per:title,t
NYT_ENG_20070215.0121.LDC2009T13,95658,NYT_ENG_20070215.0121.LDC2009T13_2695_2709,NYT_ENG_20070215.0121.LDC2009T13_2648_2664,george w. bush,george h.w. bush,per:parents,t
eng-WL-11-174587-12961626,326027,eng-WL-11-174587-12961626_339_352,eng-WL-11-174587-12961626_371_383,spencer pratt,heidi montag,per:spouse,t
eng-WL-11-174598-12964778,191077,eng-WL-11-174598-12964778_39215_39219,eng-WL-11-174598-12964778_39224_39230,demi,ashton,per:spouse,t
eng-WL-11-174595-12968208,127760,eng-WL-11-174595-12968208_9649_9663,eng-WL-11-174595-12968208_9717_9731,kate middleton,prince william,per:spouse,t
AFP_ENG_20071002.0041.LDC2009T13,46998,AFP_ENG_20071002.0041.LDC2009T13_1265_1284,AFP_ENG_20071002.0041.LDC2009T13_1255_1264,mahmoud ahmadinejad,president,per:title,t
APW_ENG_20080219.0423.LDC2009T13,253966,APW_ENG_20080219.0423.LDC2009T13_3172_3187,APW_ENG_20080219.0423.LDC2009T13_3162_3171,john f. kennedy,president,per:title,t
NYT_ENG_20070327.0226.LDC2009T13,260607,NYT_ENG_20070327.0226.LDC2009T13_2254_2273,NYT_ENG_20070327.0226.LDC2009T13_2244_2253,lawrence h. summers,president,per:title,t
APW_ENG_20080714.0136.LDC2009T13,115312,APW_ENG_20080714.0136.LDC2009T13_2942_2964,APW_ENG_20080714.0136.LDC2009T13_2858_2870,hillary rodham clinton,bill clinton,per:spouse,t
eng-WL-11-174595-12967989,191075,eng-WL-11-174595-12967989_4726_4730,eng-WL-11-174595-12967989_4665_4682,ryan,reese witherspoon,per:spouse,t
AFP_ENG_20071203.0645.LDC2009T13,222253,AFP_ENG_20071203.0645.LDC2009T13_248_259,AFP_ENG_20071203.0645.LDC2009T13_238_247,hugo chavez,president,per:title,t
AFP_ENG_20070525.0016.LDC2009T13,87979,AFP_ENG_20070525.0016.LDC2009T13_9120_9129,AFP_ENG_20070525.0016.LDC2009T13_9110_9119,hu jintao,president,per:title,t
APW_ENG_20080115.0650.LDC2009T13,272907,APW_ENG_20080115.0650.LDC2009T13_709_720,APW_ENG_20080115.0650.LDC2009T13_647_654,lee kun-hee,samsung,per:employee_or_member_of,t
eng-WL-11-174572-12946502,260580,eng-WL-11-174572-12946502_443_455,eng-WL-11-174572-12946502_460_473,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174583-12935669,75633,eng-WL-11-174583-12935669_39036_39038,eng-WL-11-174583-12935669_39031_39034,ge,nbc,org:subsidiaries,t
eng-WL-11-174595-12968146,238893,eng-WL-11-174595-12968146_10330_10343,eng-WL-11-174595-12968146_10361_10373,spencer pratt,heidi montag,per:spouse,t
eng-WL-11-174595-12967955,245451,eng-WL-11-174595-12967955_1486_1500,eng-WL-11-174595-12967955_1590_1602,britney spears,jamie spears,per:siblings,t
eng-WL-11-174643-13000465,108628,eng-WL-11-174643-13000465_409_420,eng-WL-11-174643-13000465_352_364,chris ivery,ellen pompeo,per:spouse,t
NYT_ENG_20080422.0012.LDC2009T13,229829,NYT_ENG_20080422.0012.LDC2009T13_3831_3834,NYT_ENG_20080422.0012.LDC2009T13_3784_3791,lee,samsung,per:employee_or_member_of,t
eng-NG-31-145468-10288986,289340,eng-NG-31-145468-10288986_1054_1058,eng-NG-31-145468-10288986_993_1008,tina,beyoncé knowles,per:children,t
APW_ENG_20070223.1432.LDC2009T13,153759,APW_ENG_20070223.1432.LDC2009T13_448_459,APW_ENG_20070223.1432.LDC2009T13_438_447,hugo chavez,president,per:title,t
AFP_ENG_20081215.0354.LDC2009T13,8750,AFP_ENG_20081215.0354.LDC2009T13_4692_4711,AFP_ENG_20081215.0354.LDC2009T13_4601_4610,pioneer investments,unicredit,org:parents,t
XIN_ENG_20080204.0157.LDC2009T13,8740,XIN_ENG_20080204.0157.LDC2009T13_387_396,XIN_ENG_20080204.0157.LDC2009T13_377_386,hu jintao,president,per:title,t
APW_ENG_20070216.1078.LDC2009T13,23136,APW_ENG_20070216.1078.LDC2009T13_3329_3340,APW_ENG_20070216.1078.LDC2009T13_3319_3328,hugo chavez,president,per:title,t
NYT_ENG_20070727.0186.LDC2009T13,87971,NYT_ENG_20070727.0186.LDC2009T13_903_914,NYT_ENG_20070727.0186.LDC2009T13_969_974,raul castro,fidel,per:siblings,t
eng-WL-11-174595-12967505,16201,eng-WL-11-174595-12967505_2530_2543,eng-WL-11-174595-12967505_2396_2410,janet jackson,jermaine dupri,per:spouse,t
NYT_ENG_20080422.0213.LDC2009T13,305836,NYT_ENG_20080422.0213.LDC2009T13_1666_1678,NYT_ENG_20080422.0213.LDC2009T13_1603_1606,lee jae-yong,lee,per:parents,t
eng-WL-11-174584-12964464,340524,eng-WL-11-174584-12964464_1927_1940,eng-WL-11-174584-12964464_1781_1786,molly malaney,jason,per:spouse,t
eng-WL-11-174595-12968244,127762,eng-WL-11-174595-12968244_7132_7149,eng-WL-11-174595-12968244_7180_7192,justin timberlake,jessica biel,per:spouse,t
APW_ENG_20070109.0784.LDC2009T13,229817,APW_ENG_20070109.0784.LDC2009T13_1016_1027,APW_ENG_20070109.0784.LDC2009T13_1069_1080,guy ritchie,david banda,per:children,t
eng-WL-11-174595-12968491,32438,eng-WL-11-174595-12968491_7506_7520,eng-WL-11-174595-12968491_7271_7291,angelina jolie,pax thien jolie-pitt,per:children,t
AFP_ENG_20080812.0393.LDC2009T13,36271,AFP_ENG_20080812.0393.LDC2009T13_1428_1442,AFP_ENG_20080812.0393.LDC2009T13_1418_1427,george w. bush,president,per:title,t
eng-WL-11-174643-13000465,108658,eng-WL-11-174643-13000465_435_447,eng-WL-11-174643-13000465_454_465,ellen pompeo,chris ivery,per:spouse,t
NYT_ENG_20070917.0134.LDC2009T13,278136,NYT_ENG_20070917.0134.LDC2009T13_6595_6606,NYT_ENG_20070917.0134.LDC2009T13_6572_6576,ban ki-moon,u.n.,per:employee_or_member_of,t
APW_ENG_20080902.0132.LDC2009T13,121631,APW_ENG_20080902.0132.LDC2009T13_2229_2243,APW_ENG_20080902.0132.LDC2009T13_2219_2228,george w. bush,president,per:title,t
eng-WL-11-174596-12951827,141015,eng-WL-11-174596-12951827_346_357,eng-WL-11-174596-12951827_375_384,hugo chávez,president,per:title,t
AFP_ENG_20070612.0483.LDC2009T13,140988,AFP_ENG_20070612.0483.LDC2009T13_481_492,AFP_ENG_20070612.0483.LDC2009T13_431_443,raul castro,fidel castro,per:siblings,t
eng-WL-11-174572-12949601,331685,eng-WL-11-174572-12949601_487_499,eng-WL-11-174572-12949601_517_530,heidi montag,spencer pratt,per:spouse,t
