id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
1570241,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_110_110,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_94,scaptomyza,dicladochaeta genus group,,1,0.902
1570236,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_37_37,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_41,hirtodrosophila,genus complex zygothrica genus group,,1,0.972
1570097,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_109_109,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,samoaia,genus samoaia scaptomyza genus group,,1,0.958
1570224,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_92_92,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_94,dicladochaeta,dicladochaeta genus group,,1,0.965
1570318,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_110_110,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_69_73,scaptomyza,genus drosophila styloptera genus group,,1,0.903
1569491,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_37_37,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_42,hirtodrosophila,genus complex zygothrica genus group,,1,0.969
1570004,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_107_107,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_103,phorticella,genus microdrosophila zaprionus genus group,,1,0.929
1570275,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_100_100,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_103,microdrosophila,genus microdrosophila zaprionus genus group,,1,0.966
1569715,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_105_105,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_102,zaprionus,genus microdrosophila zaprionus genus group,,1,0.93
1569643,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_32_32,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_26_30,protochymomyza,genus lissocephala chymomyza genus group,,1,0.927
1569332,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_96_96,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_93,dicladochaeta,dicladochaeta genus group,,1,0.943
1569702,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_107_107,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_102,phorticella,genus microdrosophila zaprionus genus group,,1,0.966
1569545,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_117_117,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,celidosoma,genus samoaia scaptomyza genus group,,1,0.968
1569990,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_101_101,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_102,zaprionus,genus microdrosophila zaprionus genus group,,1,0.967
1570104,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_100_100,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,microdrosophila,dicladochaeta genus group,,1,0.949
1569766,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_114_114,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_111,marquesia,genus samoaia scaptomyza genus group,,1,0.938
1570063,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_36_36,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_42,neotanygastrella,genus complex zygothrica genus group,,1,0.939
1569966,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_114_114,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,marquesia,genus samoaia scaptomyza genus group,,1,0.958
1569398,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_40_40,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_41,zygothrica,genus complex zygothrica genus group,,1,0.959
1569899,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_101_101,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,zaprionus,dicladochaeta genus group,,1,0.943
1569920,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_100_100,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_102,microdrosophila,genus microdrosophila zaprionus genus group,,1,0.971
1569709,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_107_107,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_111,phorticella,genus samoaia scaptomyza genus group,,1,0.964
1570305,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_36_36,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_41,neotanygastrella,genus complex zygothrica genus group,,1,0.939
1570146,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_71_71,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_69_73,styloptera,genus drosophila styloptera genus group,,1,0.974
1569800,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_32_32,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,protochymomyza,dicladochaeta genus group,,1,0.923
1569406,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_44_44,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_41,zygothrica,genus complex zygothrica genus group,,1,0.948
1569629,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_27_27,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_26_29,lissocephala,genus lissocephala chymomyza genus group,,1,0.968
1569729,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_98_98,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_103,calodrosophila,genus microdrosophila zaprionus genus group,,1,0.954
1569399,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_32_32,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,protochymomyza,genus samoaia scaptomyza genus group,,1,0.924
1570124,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_110_110,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_111,scaptomyza,genus samoaia scaptomyza genus group,,1,0.912
1569840,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_105_105,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_103,zaprionus,genus microdrosophila zaprionus genus group,,1,0.944
1570023,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_44_44,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_42,zygothrica,genus complex zygothrica genus group,,1,0.949
1570231,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_96_96,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_94,dicladochaeta,dicladochaeta genus group,,1,0.941
1569498,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_98_98,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_94,calodrosophila,dicladochaeta genus group,,1,0.917
1569620,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_98_98,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_102,calodrosophila,genus microdrosophila zaprionus genus group,,1,0.96
1570093,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_101_101,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_99_103,zaprionus,genus microdrosophila zaprionus genus group,,1,0.959
1569743,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_40_40,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_42,zygothrica,genus complex zygothrica genus group,,1,0.965
1569870,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_98_98,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,calodrosophila,dicladochaeta genus group,,1,0.95
1570000,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_110_110,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,scaptomyza,genus samoaia scaptomyza genus group,,1,0.903
1569858,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_98_98,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_93,calodrosophila,dicladochaeta genus group,,1,0.948
1570070,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_109_109,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_111,samoaia,genus samoaia scaptomyza genus group,,1,0.969
1570089,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_110_110,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,scaptomyza,dicladochaeta genus group,,1,0.913
1569941,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_71_71,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_69_72,styloptera,genus drosophila styloptera genus group,,1,0.969
1569888,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_32_32,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_38_42,protochymomyza,genus complex zygothrica genus group,,1,0.912
1569932,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_92_92,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_92_93,dicladochaeta,dicladochaeta genus group,,1,0.964
1570055,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_27_27,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_26_30,lissocephala,genus lissocephala chymomyza genus group,,1,0.97
1570112,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_96_96,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_96_97,dicladochaeta,dicladochaeta genus group,,1,0.951
1569631,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_107_107,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_108_112,phorticella,genus samoaia scaptomyza genus group,,1,0.958
1569497,overlappingpdfs.138601.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138601.pdf.task_3780_32_32,ROCK_DOC_overlappingpdfs.138601.pdf.task_3780_26_29,protochymomyza,genus lissocephala chymomyza genus group,,1,0.919
